iter	Passed	Remaining
0	0	484
1	0	454
2	1	454
3	1	452
4	2	447
5	2	446
6	3	544
7	4	617
8	6	669
9	7	725
10	7	699
11	8	680
12	8	659
13	9	642
14	9	632
15	10	619
16	10	611
17	11	603
18	11	593
19	11	583
20	12	574
21	12	569
22	13	561
23	13	555
24	14	549
25	14	543
26	15	542
27	15	538
28	15	533
29	16	528
30	16	526
31	17	522
32	17	517
33	18	530
34	19	528
35	19	524
36	20	523
37	20	520
38	21	518
39	21	515
40	21	511
41	22	509
42	22	507
43	23	505
44	23	503
45	24	500
46	24	497
47	24	495
48	25	493
49	25	491
50	26	491
51	26	488
52	27	487
53	27	485
54	28	483
55	28	481
56	28	479
57	29	477
58	29	476
59	30	474
60	30	472
61	31	471
62	31	469
63	31	467
64	32	465
65	32	465
66	33	465
67	33	464
68	34	464
69	34	462
70	35	461
71	35	460
72	36	459
73	36	458
74	37	457
75	37	456
76	37	455
77	38	453
78	39	454
79	39	453
80	39	451
81	40	450
82	40	449
83	41	448
84	41	446
85	41	445
86	42	443
87	42	442
88	43	441
89	43	439
90	43	438
91	44	437
92	44	435
93	45	434
94	45	433
95	45	431
96	46	430
97	46	429
98	47	428
99	47	426
100	47	425
101	48	424
102	48	422
103	48	421
104	49	420
105	49	419
106	50	418
107	50	417
108	50	416
109	51	416
110	51	415
111	52	413
112	52	412
113	52	411
114	53	410
115	53	409
116	54	409
117	54	408
118	54	406
119	55	405
120	55	404
121	56	403
122	56	402
123	56	401
124	57	401
125	57	400
126	58	398
127	58	397
128	58	397
129	59	396
130	59	396
131	60	395
132	60	393
133	60	393
134	61	392
135	61	391
136	62	390
137	62	389
138	62	388
139	63	387
140	63	387
141	63	386
142	64	385
143	64	384
144	65	384
145	65	383
146	65	382
147	66	381
148	66	381
149	67	380
150	67	379
151	67	379
152	68	378
153	68	377
154	69	376
155	69	375
156	69	375
157	70	374
158	70	373
159	71	373
160	71	372
161	71	371
162	72	370
163	72	369
164	72	369
165	73	368
166	73	367
167	74	367
168	74	366
169	74	366
170	75	365
171	75	365
172	76	364
173	76	364
174	77	363
175	77	362
176	77	362
177	78	361
178	78	361
179	79	360
